Frequency;CurrentSet;Current;Voltage Drop;Crack size
30.0;100.0;113.0;644.0;0.0
30.0;100.0;121.0;743.0;0.0
30.0;100.0;126.0;829.0;0.0
30.0;100.0;133.0;907.0;0.0
30.0;100.0;137.0;975.0;0.0
30.0;100.0;142.0;1033.0;0.0
30.0;100.0;144.0;1086.0;0.0
30.0;100.0;146.0;1135.0;0.0
30.0;100.0;147.0;1180.0;0.0
30.0;100.0;148.0;1224.0;0.0
30.0;100.0;148.0;1266.0;0.0
30.0;100.0;150.0;1307.0;0.0
30.0;100.0;150.0;1345.0;0.0
30.0;100.0;150.0;1383.0;0.0
30.0;100.0;152.0;1419.0;0.0
30.0;100.0;152.0;1454.0;0.0
30.0;100.0;152.0;1489.0;0.0
30.0;100.0;152.0;1523.0;0.0
30.0;100.0;153.0;1556.0;0.0
30.0;100.0;156.0;1585.0;0.0
30.0;100.0;156.0;1615.0;0.0
30.0;100.0;157.0;1643.0;0.0
30.0;100.0;158.0;1666.0;0.0
30.0;100.0;160.0;1688.0;0.0
30.0;100.0;162.0;1707.0;0.0
30.0;100.0;162.0;1725.0;0.0
30.0;100.0;164.0;1738.0;0.0
30.0;100.0;164.0;1749.0;0.0
30.0;100.0;166.0;1759.0;0.0
30.0;100.0;167.0;1769.0;0.0
30.0;100.0;169.0;1780.0;0.0
30.0;100.0;170.0;1783.0;0.0
30.0;100.0;169.0;1787.0;0.0
30.0;100.0;170.0;1791.0;0.0
30.0;100.0;170.0;1790.0;0.0
30.0;100.0;169.0;1790.0;0.0
30.0;100.0;170.0;1793.0;0.0
30.0;100.0;170.0;1797.0;0.0
30.0;100.0;170.0;1798.0;0.0
30.0;100.0;171.0;1800.0;0.0
30.0;100.0;171.0;1800.0;0.0
30.0;100.0;171.0;1799.0;0.0
30.0;100.0;170.0;1795.0;0.0
30.0;100.0;170.0;1794.0;0.0
30.0;100.0;171.0;1796.0;0.0
30.0;100.0;171.0;1798.0;0.0
30.0;100.0;172.0;1800.0;0.0
30.0;100.0;171.0;1800.0;0.0
30.0;100.0;171.0;1800.0;0.0
30.0;100.0;170.0;1801.0;0.0
30.0;100.0;171.0;1793.0;0.0
30.0;100.0;170.0;1793.0;0.0
30.0;100.0;170.0;1793.0;0.0
30.0;100.0;170.0;1794.0;0.0
30.0;100.0;170.0;1793.0;0.0
30.0;100.0;172.0;1793.0;0.0
30.0;100.0;171.0;1793.0;0.0
30.0;100.0;172.0;1795.0;0.0
30.0;100.0;171.0;1796.0;0.0
30.0;100.0;171.0;1799.0;0.0
30.0;100.0;171.0;1798.0;0.0
30.0;100.0;171.0;1799.0;0.0
30.0;100.0;171.0;1796.0;0.0
30.0;100.0;170.0;1797.0;0.0
30.0;100.0;171.0;1796.0;0.0
30.0;100.0;171.0;1794.0;0.0
30.0;100.0;172.0;1794.0;0.0
30.0;100.0;171.0;1793.0;0.0
30.0;100.0;171.0;1793.0;0.0
30.0;100.0;171.0;1794.0;0.0
30.0;100.0;171.0;1795.0;0.0
30.0;100.0;171.0;1794.0;0.0
30.0;100.0;171.0;1795.0;0.0
30.0;100.0;171.0;1796.0;0.0
30.0;100.0;171.0;1796.0;0.0
30.0;100.0;171.0;1798.0;0.0
30.0;100.0;171.0;1798.0;0.0
30.0;100.0;171.0;1798.0;0.0
30.0;100.0;171.0;1800.0;0.0
30.0;100.0;171.0;1797.0;0.0
30.0;100.0;170.0;1797.0;0.0
30.0;100.0;171.0;1795.0;0.0
30.0;100.0;172.0;1797.0;0.0
30.0;100.0;171.0;1795.0;0.0
30.0;100.0;170.0;1797.0;0.0
30.0;100.0;172.0;1797.0;0.0
30.0;100.0;170.0;1796.0;0.0
30.0;100.0;172.0;1795.0;0.0
30.0;100.0;172.0;1797.0;0.0
30.0;100.0;172.0;1799.0;0.0
30.0;150.0;1833.0;2938.0;0.0
30.0;150.0;1835.0;2941.0;0.0
30.0;150.0;1871.0;2943.0;0.0
30.0;150.0;1812.0;2922.0;0.0
30.0;150.0;1837.0;2935.0;0.0
30.0;150.0;1845.0;2934.0;0.0
30.0;150.0;1820.0;2929.0;0.0
30.0;150.0;1837.0;2953.0;0.0
30.0;150.0;1830.0;2939.0;0.0
30.0;150.0;1824.0;2930.0;0.0
30.0;150.0;1827.0;2932.0;0.0
30.0;150.0;1821.0;2920.0;0.0
30.0;150.0;1818.0;2931.0;0.0
30.0;150.0;1839.0;2943.0;0.0
30.0;150.0;1839.0;2942.0;0.0
30.0;150.0;1868.0;2952.0;0.0
30.0;150.0;1887.0;2945.0;0.0
